TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:56.533 -> The value of current in ma : 7925.86,,,,19:56.5,->,current ,ma,7925.86
14:19:56.628 -> The value of current in ma : 7948.90,,,,19:56.6,->,current ,ma,7948.9
14:19:56.770 -> The value of current in ma : 7879.78,,,,19:56.8,->,current ,ma,7879.78
14:19:56.865 -> The value of current in ma : 7902.82,,,,19:56.9,->,current ,ma,7902.82
14:19:57.006 -> The value of current in ma : 7879.78,,,,19:57.0,->,current ,ma,7879.78
14:19:57.101 -> The value of current in ma : 7879.78,,,,19:57.1,->,current ,ma,7879.78
14:19:57.243 -> The value of current in ma : 7925.86,,,,19:57.2,->,current ,ma,7925.86
14:19:57.370 -> The value of current in ma : 7925.86,,,,19:57.4,->,current ,ma,7925.86
14:19:57.465 -> The value of current in ma : 7902.82,,,,19:57.5,->,current ,ma,7902.82
14:19:57.607 -> The value of current in ma : 7948.90,,,,19:57.6,->,current ,ma,7948.9
14:19:57.749 -> The value of current in ma : 7948.90,,,,19:57.7,->,current ,ma,7948.9
14:19:57.844 -> The value of current in ma : 7994.98,,,,19:57.8,->,current ,ma,7994.98
14:19:57.986 -> The value of current in ma : 7925.86,,,,19:58.0,->,current ,ma,7925.86
14:19:58.065 -> The value of current in ma : 7902.82,,,,19:58.1,->,current ,ma,7902.82
14:19:58.207 -> The value of current in ma : 7971.94,,,,19:58.2,->,current ,ma,7971.94
14:19:58.350 -> The value of current in ma : 7925.86,,,,19:58.3,->,current ,ma,7925.86
14:19:58.445 -> The value of current in ma : 7902.82,,,,19:58.4,->,current ,ma,7902.82
14:19:58.587 -> The value of current in ma : 7994.98,,,,19:58.6,->,current ,ma,7994.98
14:19:58.681 -> The value of current in ma : 7902.82,,,,19:58.7,->,current ,ma,7902.82
14:19:58.823 -> The value of current in ma : 7994.98,,,,19:58.8,->,current ,ma,7994.98
14:19:58.950 -> The value of current in ma : 7925.86,,,,19:59.0,->,current ,ma,7925.86
14:19:59.044 -> The value of current in ma : 7902.82,,,,19:59.0,->,current ,ma,7902.82
14:19:59.186 -> The value of current in ma : 7902.82,,,,19:59.2,->,current ,ma,7902.82
14:19:59.281 -> The value of current in ma : 7948.90,,,,19:59.3,->,current ,ma,7948.9
14:19:59.424 -> The value of current in ma : 7879.78,,,,19:59.4,->,current ,ma,7879.78
14:19:59.566 -> The value of current in ma : 7902.82,,,,19:59.6,->,current ,ma,7902.82
14:19:59.661 -> The value of current in ma : 7948.90,,,,19:59.7,->,current ,ma,7948.9
14:19:59.804 -> The value of current in ma : 7948.90,,,,19:59.8,->,current ,ma,7948.9
14:19:59.899 -> The value of current in ma : 7925.86,,,,19:59.9,->,current ,ma,7925.86
14:20:00.041 -> The value of current in ma : 7925.86,,,,20:00.0,->,current ,ma,7925.86
14:20:00.136 -> The value of current in ma : 7948.90,,,,20:00.1,->,current ,ma,7948.9
14:20:00.278 -> The value of current in ma : 7879.78,,,,20:00.3,->,current ,ma,7879.78
14:20:00.373 -> The value of current in ma : 7856.74,,,,20:00.4,->,current ,ma,7856.74
14:20:00.500 -> The value of current in ma : 7902.82,,,,20:00.5,->,current ,ma,7902.82
14:20:00.643 -> The value of current in ma : 7948.90,,,,20:00.6,->,current ,ma,7948.9
14:20:00.738 -> The value of current in ma : 7925.86,,,,20:00.7,->,current ,ma,7925.86
14:20:00.881 -> The value of current in ma : 7971.94,,,,20:00.9,->,current ,ma,7971.94
14:20:00.976 -> The value of current in ma : 7948.90,,,,20:01.0,->,current ,ma,7948.9
14:20:01.103 -> The value of current in ma : 7948.90,,,,20:01.1,->,current ,ma,7948.9
14:20:01.229 -> The value of current in ma : 7925.86,,,,20:01.2,->,current ,ma,7925.86
14:20:01.370 -> The value of current in ma : 7902.82,,,,20:01.4,->,current ,ma,7902.82
14:20:01.465 -> The value of current in ma : 7948.90,,,,20:01.5,->,current ,ma,7948.9
14:20:01.607 -> The value of current in ma : 7948.90,,,,20:01.6,->,current ,ma,7948.9
14:20:01.702 -> The value of current in ma : 7925.86,,,,20:01.7,->,current ,ma,7925.86
14:20:01.844 -> The value of current in ma : 7948.90,,,,20:01.8,->,current ,ma,7948.9
